Project Name,Package Name,Type Name,Method Name,Code Smell
jEdit,installer,TextPanel,TextPanel,Magic Number
jEdit,installer,DirVerifier,verify,Complex Conditional
jEdit,installer,ChooseDirectory,ChooseDirectory,Abstract Function Call From Constructor
jEdit,installer,ChooseDirectory,ChooseDirectory,Long Statement
jEdit,installer,ChooseDirectory,addField,Magic Number
jEdit,installer,ChooseDirectory,addField,Magic Number
jEdit,installer,ChooseDirectory,addField,Magic Number
jEdit,installer,ChooseDirectory,addField,Magic Number
jEdit,installer,ChooseDirectory,addField,Magic Number
jEdit,installer,ChooseDirectory,addField,Magic Number
jEdit,installer,SelectComponents,createCompPanel,Long Statement
jEdit,installer,SwingProgress,advance,Empty catch clause
jEdit,installer,TarBuffer,writeRecord,Long Statement
jEdit,installer,TarBuffer,writeRecord,Long Statement
jEdit,installer,TarEntry,setModTime,Magic Number
jEdit,installer,TarEntry,setModTime,Magic Number
jEdit,installer,TarEntry,getModTime,Magic Number
jEdit,installer,TarEntry,getFileTarHeader,Complex Conditional
jEdit,installer,TarEntry,getFileTarHeader,Complex Method
jEdit,installer,TarEntry,getFileTarHeader,Magic Number
jEdit,installer,TarEntry,getFileTarHeader,Magic Number
jEdit,installer,TarEntry,getFileTarHeader,Magic Number
jEdit,installer,TarEntry,getFileTarHeader,Magic Number
jEdit,installer,TarEntry,getFileTarHeader,Magic Number
jEdit,installer,TarEntry,computeCheckSum,Magic Number
jEdit,installer,TarEntry,nameTarHeader,Magic Number
jEdit,installer,TarEntry,nameTarHeader,Magic Number
jEdit,installer,TarEntry,nameTarHeader,Magic Number
jEdit,installer,TarHeader,TarHeader,Magic Number
jEdit,installer,TarHeader,TarHeader,Magic Number
jEdit,installer,TarHeader,parseOctal,Magic Number
jEdit,installer,TarHeader,getOctalBytes,Magic Number
jEdit,installer,TarHeader,getOctalBytes,Magic Number
jEdit,installer,TarHeader,getCheckSumOctalBytes,Magic Number
jEdit,installer,TarInputStream,skip,Magic Number
jEdit,installer,TarInputStream,skip,Magic Number
jEdit,installer,TarInputStream,getNextEntry,Complex Conditional
jEdit,installer,TarInputStream,getNextEntry,Complex Method
jEdit,installer,TarInputStream,getNextEntry,Long Statement
jEdit,installer,TarInputStream,getNextEntry,Long Statement
